"tranportador_atrasou","PALLETS","troca_ordem","troc_h_carga","troc_h_descarga","troc_recurso","recurso_extra","isca","retorno","possui_prioridade","numero_acessos","numero_de_macros","numero_manutencao","ultimo_odometro_dia","GR_JORNADA","CIDADE_OPERACO","OPERACAO","ERAS_DESCRICAO","IDADE_CAVALO","IDADE_CARRETA","MARCA_CAVALO","MARCA_CARRETA","numero_paradas_proibidas","VIAG_VALOR_CARGA","VIAG_PESO_TOTAL","VIAG_DISTANCIA","delta_inicio_cadastro","delta_fim_inicio","numero_paradas.rast","numero_paradas.gris"
"1",28,"0","0","0","0","0","0","0","1",2,28,0,164737,"1","CPG","CROSS","NV FROTA",1,2,"DAF","FACCHINI",0,115006.36,32462.04,267.9,0.933611111111111,8.09888888888889,4,2
"1",28,"0","0","0","0","0","0","0","1",5,36,2,109349577,"1","CPG","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,51077.42,34943.6,267.9,0.451111111111111,11.6297222222222,6,2
"0",28,"0","0","0","0","0","0","0","0",1,18,2,153693,"1","CVL","SPOT","NV FROTA",2,0,"DAF","FACCHINI",0,272201.41,30007.04,1372.2,0.515555555555556,88.3091666666667,3,13
"1",28,"0","0","0","0","0","0","0","0",2,18,0,40860,"1","CVL","SPOT","NV FROTA",0,4,"SCANIA","RANDON",0,45420.7,31704.96,424.67,1.42527777777778,23.5163888888889,3,6
"1",28,"0","0","0","0","0","0","0","0",1,12,1,462827,"1","CVL","SPOT","NV FROTA",3,4,"SCANIA","FACCHINI",0,37974.08,28104.96,651.36,0.755277777777778,29.2419444444444,3,14
"1",28,"0","0","0","0","0","0","0","0",1,18,2,153693,"1","CVL","SPOT","NV FROTA",2,0,"DAF","FACCHINI",0,45238.84,30266.88,433,5.57555555555556,100.266944444444,3,24
"1",28,"0","0","0","0","0","0","0","1",3,25,2,140690,"1","MAR","CROSS","NV FROTA",1,12,"DAF","RANDON",0,46441.04,28236.8,313.21,9.73416666666667,16.3875,4,5
"0",28,"0","1","0","0","1","0","0","0",2,31,0,158171,"1","MAR","CROSS","NV FROTA",1,5,"DAF","FACCHINI",0,39544.96,29624,116.41,3.22805555555556,15.4725,5,6
"1",28,"0","0","0","0","0","0","0","1",1,14,1,414134,"1","CVL","SPOT","NV FROTA",5,4,"MERCEDES-BENZ","FACCHINI",0,36452,28965.6,680.58,1.06944444444444,90.3725,3,25
"1",28,"0","0","0","0","0","0","0","1",1,17,0,377678,"1","CVL","SPOT","NV FROTA",4,5,"DAF","FACCHINI",0,25715.2,29624,326.97,0.801388888888889,26.9827777777778,5,10
"1",28,"0","0","0","0","0","0","0","1",1,16,0,38849,"1","CVL","SPOT","NV FROTA",0,8,"SCANIA","FACCHINI",0,53589.76,29624,538.15,1.4225,23.0919444444444,2,20
"1",28,"1","1","0","0","0","0","0","0",1,19,0,328314,"1","CVL","SPOT","NV FROTA",3,3,"SCANIA","FACCHINI",0,44102.24,27508,790.52,0.998333333333333,71.7019444444445,4,13
"0",26,"0","0","0","0","0","0","0","0",2,22,1,285963,"1","MAR","CROSS","NV FROTA",2,1,"VOLKSWAGEN","FACCHINI",0,246671.2,25060,509.31,0.428333333333333,25.0258333333333,4,3
"1",28,"0","0","0","0","0","0","0","0",2,11,0,224548,"1","CVL","SPOT","NV FROTA",2,1,"SCANIA","FACCHINI",0,172327.39,22730,117.39,0.873611111111111,66.4463888888889,3,12
"1",28,"0","0","0","0","0","0","0","0",1,16,0,188855,"1","BTM","OP MINAS","NV FROTA",2,2,"SCANIA","FACCHINI",0,194021.46,13519.9,455.1,1.93861111111111,25.1408333333333,3,6
"0",28,"1","0","0","0","0","0","0","0",2,10,0,565658,"1","CVL","SPOT","NV FROTA",5,6,"MERCEDES-BENZ","FACCHINI",0,65189.24,25030.84,512.39,0.0988888888888889,29.9572222222222,1,27
"0",28,"0","0","0","0","0","0","0","0",1,21,0,87918,"1","CVL","SPOT","NV FROTA",1,0,"DAF","FACCHINI",0,93120,24000,897.89,0.170277777777778,30.2805555555556,5,13
"0",26,"0","0","0","0","0","0","0","0",1,10,0,443788,"1","CVL","SPOT","NV FROTA",5,4,"MERCEDES-BENZ","NOMA",0,70156.59,4164.72,1109.56,0.251388888888889,44.8880555555556,2,13
"1",28,"0","0","0","0","0","0","0","0",1,15,3,268667,"1","CVL","SPOT","NV FROTA",2,5,"SCANIA","FACCHINI",0,32588.56,4655.04,195.02,0.396388888888889,25.6111111111111,4,13
"1",28,"0","0","0","0","0","1","0","0",1,14,0,106636,"1","PG","DEDICADO","ALTO",2,2,"DAF","FACCHINI",0,295724,29255.62,526.68,2.63444444444444,42.7883333333333,2,36
"1",28,"0","0","0","0","0","0","0","0",1,12,0,59314,"1","PG","DEDICADO","ALTO",1,2,"DAF","FACCHINI",0,234122.96,32517.86,853.74,9.91777777777778,84.3608333333333,3,27
"1",28,"0","0","0","0","0","1","0","0",1,12,0,486949,"1","PG","DEDICADO","ALTO",6,3,"DAF","FACCHINI",0,216620.47,32291.06,589.51,0.651666666666667,40.8847222222222,1,35
"1",28,"0","0","0","0","0","0","0","0",1,13,0,395183,"1","MGA","SPOT","ALTO",5,3,"DAF","FACCHINI",0,234886.55,32553.56,853.74,9.58,89.7236111111111,3,27
"0",28,"0","0","0","0","0","0","0","0",2,16,0,144996,"1","PG","DEDICADO","ALTO",2,6,"DAF","FACCHINI",0,270423.65,31633.78,307.47,0.183611111111111,20.3491666666667,3,22
"1",26,"0","0","0","0","0","0","0","0",2,24,2,454091,"0","MAR","CROSS","NV FROTA",4,9,"MERCEDES-BENZ","LIBRELATO",0,43870.5,16911.6,166.84,0.931944444444444,66.0147222222222,4,6
"1",27.955,"0","0","0","0","0","0","0","0",2,44,0,210635,"1","CTA","CROSS","NV FROTA",3,5,"SCANIA","FACCHINI",0,70328.05,30250.4,41.83,1.25277777777778,1.69027777777778,0,10
"0",26,"0","0","0","0","0","0","0","0",2,44,0,210635,"1","CTA","CROSS","NV FROTA",3,5,"SCANIA","FACCHINI",0,102585.28,35639.68,41.83,0.506944444444444,2.77027777777778,0,10
"0",26,"0","0","0","0","0","0","0","0",2,44,0,210635,"1","CTA","CROSS","NV FROTA",3,5,"SCANIA","FACCHINI",0,38482.86,34806.2,41.83,0.533055555555556,14.2516666666667,0,10
"0",27.167,"0","0","0","0","0","0","0","0",2,44,0,210635,"1","CTA","CROSS","NV FROTA",3,5,"SCANIA","FACCHINI",0,74907.73,23635.56,50.41,0.650555555555556,3.16138888888889,0,10
"0",28,"0","0","0","0","0","0","0","1",2,44,0,210635,"1","CTA","CROSS","NV FROTA",3,5,"SCANIA","FACCHINI",0,141394.73,30001.8,50.41,1.41944444444444,1.56277777777778,0,10
"1",27.491,"0","0","0","0","0","0","0","0",3,20,3,273971,"1","CVL","SPOT","NV FROTA",2,7,"SCANIA","FACCHINI",0,144814.37,29363.77,274.88,0.367222222222222,7.69472222222222,3,15
"1",27.388,"0","0","0","0","0","0","0","1",1,19,0,43638,"1","CVL","SPOT","NV FROTA",0,4,"SCANIA","RANDON",0,53373.97,35343.4,462.78,0.631944444444444,23.6686111111111,4,29
"1",28,"0","0","0","0","0","0","0","1",2,16,0,507799,"1","CVL","SPOT","NV FROTA",5,6,"MERCEDES-BENZ","FACCHINI",0,45051.99,32168.04,274.88,0.864444444444444,9.19111111111111,2,15
"1",28,"0","0","0","0","0","0","0","0",1,10,0,268460,"1","CVL","SPOT","NV FROTA",3,4,"SCANIA","NOMA",0,91796.54,22166.56,598.72,18.4877777777778,84.3708333333333,2,7
"1",28,"0","0","0","0","0","0","0","1",2,19,0,323177,"1","CVL","SPOT","NV FROTA",3,2,"SCANIA","JOINVILLE",0,65731.64,25608.96,356.36,2.03055555555556,16.1244444444444,5,13
"1",27.315,"0","0","0","0","0","0","0","1",1,20,2,463139,"1","CVL","SPOT","NV FROTA",3,4,"SCANIA","FACCHINI",0,60337.1,25482.08,598.72,0.409722222222222,29.5880555555556,5,7
"0",28,"0","0","0","0","0","0","0","1",2,13,1,153283,"1","CVL","SPOT","NV FROTA",2,3,"SCANIA","FACCHINI",0,46526.88,52581.36,648.17,0.787777777777778,62.1902777777778,2,10
"0",26,"0","0","0","0","0","0","0","1",1,12,2,365265,"1","CVL","SPOT","NV FROTA",3,2,"SCANIA","FACCHINI",0,45098.51,67366,274.88,4.2825,13.4002777777778,3,15
"1",26,"0","0","0","0","0","0","0","1",2,8,0,325478,"1","CVL","SPOT","NV FROTA",3,12,"SCANIA","RANDON",0,45098.51,67366,274.88,0.591388888888889,16.3155555555556,0,15
"0",28,"0","0","0","0","0","0","0","1",1,21,0,363966,"1","CVL","SPOT","NV FROTA",4,0,"DAF","FACCHINI",0,57335.5,9224.5,453.54,0.646111111111111,25.655,4,29
